# Amorphous silicon (a-Si) refractive index
# Source: Pierce & Spicer, Phys. Rev. B 5, 3017-3029 (1972)
# Tabulated data from a 60-nm a-Si film, interpolated to grid
# Data extrapolated 2.066-2.500 um (n flat, k=0 beyond bandgap)
# WARNING: Strongly absorbing for wl < ~900 nm (k > 0.04)
#          Visible-band tiles will have low transmission
#          For a-Si:H (PECVD with H), absorption edge red-shifts slightly
wavelength_nm,n,k
2405.0,3.432189,0.000000e+00
2410.0,3.432074,0.000000e+00
2415.0,3.431959,0.000000e+00
2420.0,3.431843,0.000000e+00
2425.0,3.431728,0.000000e+00
2430.0,3.431613,0.000000e+00
2435.0,3.431498,0.000000e+00
2440.0,3.431382,0.000000e+00
2445.0,3.431267,0.000000e+00
2450.0,3.431152,0.000000e+00
2455.0,3.431037,0.000000e+00
2460.0,3.430922,0.000000e+00
2465.0,3.430806,0.000000e+00
2470.0,3.430691,0.000000e+00
2475.0,3.430576,0.000000e+00
2480.0,3.430461,0.000000e+00
2485.0,3.430346,0.000000e+00
2490.0,3.430230,0.000000e+00
2495.0,3.430115,0.000000e+00
2500.0,3.430000,0.000000e+00
